,ItemDesignId,ItemDesignName,ItemDesignKey,ItemDesignDescription,ImageSpriteId,LogoSpriteId,ItemSpace,ItemType,GasCost,MineralCost,Rank,MinRoomLevel,BuildTime,RootItemDesignId,ItemSubType,EnhancementType,EnhancementValue,MarketPrice,DropChance,Ingredients,Rarity,ModuleType,ModuleArgument,Flags,FairPrice,MinShipLevel,ManufactureCost,ItemDesignNameEN,Content,RaceId,RequiredResearchDesignId,ParentItemDesignId,CraftDesignId,MissileDesignId,CharacterPartId,ActiveAnimationId,AnimationId,BorderSpriteId,SoundFileId,CharacterDesignId,TrainingDesignId,RoomDesignId,ParticleSpriteId
10,13,Ion Core 3,Ion Core 3,Concentrated Ion Energy Charge.,3562,3562,2,Missile,460,0,2,1,180,11,None,None,0,0,0,,Common,None,0,0,0,0,gas:460,Ion Core 3,,0,84,12,0,11,0,0,0,0,0,0,0,0,0
11,14,Ion Core 4,Ion Core 4,Concentrated Ion Energy Charge.,3562,3562,2,Missile,550,0,2,1,180,11,None,None,0,0,0,,Common,None,0,0,0,0,gas:550,Ion Core 4,,0,85,13,0,12,0,0,0,0,0,0,0,0,0
12,15,Ion Core 5,Ion Core 5,Concentrated Ion Energy Charge.,3562,3562,2,Missile,2,0,2,1,180,11,None,None,0,0,0,,Common,None,0,0,0,0,gas:2,Ion Core 5,,0,63,14,0,13,0,0,0,0,0,0,0,0,0
13,16,Ion Core 6,Ion Core 6,Concentrated Ion Energy Charge.,3562,3562,2,Missile,2,0,2,1,180,11,None,None,0,0,0,,Common,None,0,0,0,0,gas:2,Ion Core 6,,0,63,15,0,14,0,0,0,0,0,0,0,0,0
14,17,Rocket Lv2,Rocket Lv2,Standard military grade rockets. Unaffected by shields and deals damage to ship systems.,1558,1558,2,Missile,20,0,1,1,30,4,None,None,0,0,0,,Common,None,0,0,0,0,gas:20,Rocket Lv2,,0,2,4,0,15,0,0,0,0,0,0,0,0,0
15,18,Rocket Lv3,Rocket Lv3,Standard military grade rockets. Unaffected by shields and deals damage to ship systems.,1559,1559,2,Missile,30,0,1,1,30,4,None,None,0,0,0,,Common,None,0,0,0,0,gas:30,Rocket Lv3,,0,7,17,0,16,0,0,0,0,0,0,0,0,0
16,19,Rocket Lv4,Rocket Lv4,Standard military grade rockets. Unaffected by shields and deals damage to ship systems.,1560,1560,2,Missile,40,0,1,1,30,4,None,None,0,0,0,,Common,None,0,0,0,0,gas:40,Rocket Lv4,,0,8,18,0,17,0,0,0,0,0,0,0,0,0
17,20,Rocket Lv5,Rocket Lv5,Standard military grade rockets. Unaffected by shields and deals damage to ship systems.,1561,1561,2,Missile,50,0,1,1,30,4,None,None,0,0,0,,Common,None,0,0,0,0,gas:50,Rocket Lv5,,0,11,19,0,19,0,0,0,0,0,0,0,0,0
18,21,Rocket Lv6,Rocket Lv6,Standard military grade rockets. Unaffected by shields and deals damage to ship systems.,1562,1562,2,Missile,60,0,1,1,30,4,None,None,0,0,0,,Common,None,0,0,0,0,gas:60,Rocket Lv6,,0,12,20,0,20,0,0,0,0,0,0,0,0,0
19,22,Scarlet Lv2,Scarlet Lv2,Incendiary warhead causing progressive damage to systems and crew.,1582,1582,3,Missile,120,0,1,1,120,5,None,None,0,0,0,,Common,None,0,0,0,0,gas:120,Scarlet Lv2,,0,13,5,0,21,0,0,0,0,0,0,0,0,0
20,23,Scarlet Lv3,Scarlet Lv3,Incendiary warhead causing progressive damage to systems and crew.,1583,1583,3,Missile,150,0,1,1,120,5,None,None,0,0,0,,Common,None,0,0,0,0,gas:150,Scarlet Lv3,,0,14,22,0,22,0,0,0,0,0,0,0,0,0
21,24,Scarlet Lv4,Scarlet Lv4,Incendiary warhead causing progressive damage to systems and crew.,1584,1584,3,Missile,180,0,1,1,120,5,None,None,0,0,0,,Common,None,0,0,0,0,gas:180,Scarlet Lv4,,0,15,23,0,23,0,0,0,0,0,0,0,0,0
22,25,Scarlet Lv5,Scarlet Lv5,Incendiary warhead causing progressive damage to systems and crew.,1585,1585,3,Missile,210,0,1,1,120,5,None,None,0,0,0,,Common,None,0,0,0,0,gas:210,Scarlet Lv5,,0,16,24,0,24,0,0,0,0,0,0,0,0,0
23,26,Scarlet Lv6,Scarlet Lv6,Incendiary warhead causing progressive damage to systems and crew.,1586,1586,3,Missile,235,0,1,1,120,5,None,None,0,0,0,,Common,None,0,0,0,0,gas:235,Scarlet Lv6,,0,17,25,0,25,0,0,0,0,0,0,0,0,0
24,27,Mimic Lv2,Mimic Lv2,An array of rapid fire missiles.,1570,1570,1,Missile,10,0,3,1,40,6,None,None,0,0,0,,Common,None,0,0,0,0,gas:10,Mimic Lv2,,0,18,6,0,26,0,0,0,0,0,0,0,0,0
25,28,Mimic Lv3,Mimic Lv3,An array of rapid fire missiles.,1571,1571,1,Missile,15,0,3,1,45,6,None,None,0,0,0,,Common,None,0,0,0,0,gas:15,Mimic Lv3,,0,19,27,0,27,0,0,0,0,0,0,0,0,0
26,29,Mimic Lv4,Mimic Lv4,An array of rapid fire missiles.,1572,1572,1,Missile,20,0,3,1,50,6,None,None,0,0,0,,Common,None,0,0,0,0,gas:20,Mimic Lv4,,0,20,28,0,28,0,0,0,0,0,0,0,0,0
27,30,Mimic Lv5,Mimic Lv5,An array of rapid fire missiles.,1573,1573,1,Missile,20,0,3,1,55,6,None,None,0,0,0,,Common,None,0,0,0,0,gas:20,Mimic Lv5,,0,21,29,0,29,0,0,0,0,0,0,0,0,0
28,31,Mimic Lv6,Mimic Lv6,An array of rapid fire missiles.,1574,1574,1,Missile,20,0,3,1,60,6,None,None,0,0,0,,Common,None,0,0,0,0,gas:20,Mimic Lv6,,0,22,30,0,30,0,0,0,0,0,0,0,0,0
29,32,Jungler Lv2,Jungler Lv2,Medium sized missile filled with chemical warhead. Effective against crew.,1588,1588,2,Missile,35,0,1,1,45,7,None,None,0,0,0,,Common,None,0,0,0,0,gas:35,Jungler Lv2,,0,23,7,0,31,0,0,0,0,0,0,0,0,0
30,33,Jungler Lv3,Jungler Lv3,Medium sized missile filled with chemical warhead. Effective against crew.,1589,1589,2,Missile,45,0,1,1,45,7,None,None,0,0,0,,Common,None,0,0,0,0,gas:45,Jungler Lv3,,0,24,32,0,32,0,0,0,0,0,0,0,0,0
31,34,Jungler Lv4,Jungler Lv4,Medium sized missile filled with chemical warhead. Effective against crew.,1590,1590,2,Missile,45,0,1,1,45,7,None,None,0,0,0,,Common,None,0,0,0,0,gas:45,Jungler Lv4,,0,25,33,0,33,0,0,0,0,0,0,0,0,0
32,35,Jungler Lv5,Jungler Lv5,Medium sized missile filled with chemical warhead. Effective against crew.,1591,1591,2,Missile,75,0,1,1,45,7,None,None,0,0,0,,Common,None,0,0,0,0,gas:75,Jungler Lv5,,0,26,34,0,34,0,0,0,0,0,0,0,0,0
33,36,Jungler Lv6,Jungler Lv6,Medium sized missile filled with chemical warhead. Effective against crew.,1592,1592,2,Missile,90,0,1,1,45,7,None,None,0,0,0,,Common,None,0,0,0,0,gas:90,Jungler Lv6,,0,27,35,0,35,0,0,0,0,0,0,0,0,0
34,37,Penetrator Lv2,Penetrator Lv2,Special hull-buster missile that is designed to inflict direct damage to the core stability of the enemy ship hull.,1576,1576,2,Missile,90,0,1,1,100,8,None,None,0,0,0,,Common,None,0,0,0,0,gas:90,Penetrator Lv2,,0,28,8,0,36,0,0,0,0,0,0,0,0,0
35,38,Penetrator Lv3,Penetrator Lv3,Special hull-buster missile that is designed to inflict direct damage to the core stability of the enemy ship hull.,1577,1577,2,Missile,115,0,1,1,100,8,None,None,0,0,0,,Common,None,0,0,0,0,gas:115,Penetrator Lv3,,0,29,37,0,37,0,0,0,0,0,0,0,0,0
36,39,Penetrator Lv4,Penetrator Lv4,Special hull-buster missile that is designed to inflict direct damage to the core stability of the enemy ship hull.,1578,1578,2,Missile,140,0,1,1,100,8,None,None,0,0,0,,Common,None,0,0,0,0,gas:140,Penetrator Lv4,,0,30,38,0,38,0,0,0,0,0,0,0,0,0
37,40,Penetrator Lv5,Penetrator Lv5,Special hull-buster missile that is designed to inflict direct damage to the core stability of the enemy ship hull.,1579,1579,2,Missile,170,0,1,1,100,8,None,None,0,0,0,,Common,None,0,0,0,0,gas:170,Penetrator Lv5,,0,31,39,0,39,0,0,0,0,0,0,0,0,0
38,41,Penetrator Lv6,Penetrator Lv6,Special hull-buster missile that is designed to inflict direct damage to the core stability of the enemy ship hull.,1580,1580,2,Missile,200,0,1,1,100,8,None,None,0,0,0,,Common,None,0,0,0,0,gas:200,Penetrator Lv6,,0,32,40,0,40,0,0,0,0,0,0,0,0,0
39,42,EMP Missile Lv2,EMP Missile Lv2,EMP missiles interrupts electronics system causing them to be disabled temporarily.,1564,1564,3,Missile,125,0,1,1,135,9,None,None,0,0,0,,Common,None,0,0,0,0,gas:125,EMP Missile Lv2,,0,33,9,0,41,0,0,0,0,0,0,0,0,0
40,43,EMP Missile Lv3,EMP Missile Lv3,EMP missiles interrupts electronics system causing them to be disabled temporarily.,1565,1565,3,Missile,155,0,1,1,135,9,None,None,0,0,0,,Common,None,0,0,0,0,gas:155,EMP Missile Lv3,,0,34,42,0,42,0,0,0,0,0,0,0,0,0
41,44,EMP Missile Lv4,EMP Missile Lv4,EMP missiles interrupts electronics system causing them to be disabled temporarily.,1566,1566,3,Missile,185,0,1,1,135,9,None,None,0,0,0,,Common,None,0,0,0,0,gas:185,EMP Missile Lv4,,0,35,43,0,43,0,0,0,0,0,0,0,0,0
42,45,EMP Missile Lv5,EMP Missile Lv5,EMP missiles interrupts electronics system causing them to be disabled temporarily.,1567,1567,3,Missile,215,0,1,1,135,9,None,None,0,0,0,,Common,None,0,0,0,0,gas:215,EMP Missile Lv5,,0,36,44,0,44,0,0,0,0,0,0,0,0,0
43,46,EMP Missile Lv6,EMP Missile Lv6,EMP missiles interrupts electronics system causing them to be disabled temporarily.,1568,1568,3,Missile,250,0,1,1,135,9,None,None,0,0,0,,Common,None,0,0,0,0,gas:250,EMP Missile Lv6,,0,37,45,0,45,0,0,0,0,0,0,0,0,0
44,47,Interceptor Lv1,Interceptor Lv1,Light Assault Ship.,2337,2337,2,Craft,480,0,1,1,90,47,None,None,0,0,0,,Common,None,0,0,0,0,gas:480,Interceptor Lv1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45,48,Defender Lv1,Defender Lv1,Medium Assault Ship.,2157,2157,3,Craft,2700,0,1,1,600,48,None,None,0,0,0,,Common,None,0,0,0,0,gas:2700,Defender Lv1,,0,0,0,2,0,0,0,0,0,0,0,0,0,0
46,51,Interceptor Lv2,Interceptor Lv2,Light Assault,2402,2402,2,Craft,560,0,1,1,90,47,None,None,0,0,0,,Common,None,0,0,0,0,gas:560,Interceptor Lv2,,0,49,47,3,0,0,0,0,0,0,0,0,0,0
47,52,Interceptor Lv3,Interceptor Lv3,Light Assault,2403,2403,2,Craft,640,0,1,1,90,47,None,None,0,0,0,,Common,None,0,0,0,0,gas:640,Interceptor Lv3,,0,50,51,4,0,0,0,0,0,0,0,0,0,0
48,53,Defender Lv2,Defender Lv2,Medium Assault,2399,2399,3,Craft,3000,0,1,1,600,48,None,None,0,0,0,,Common,None,0,0,0,0,gas:3000,Defender Lv2,,0,51,48,5,0,0,0,0,0,0,0,0,0,0
49,54,Defender Lv3,Defender Lv3,Medium Assault,2400,2400,3,Craft,3200,0,1,1,600,48,None,None,0,0,0,,Common,None,0,0,0,0,gas:3200,Defender Lv3,,0,52,53,6,0,0,0,0,0,0,0,0,0,0
50,55,Defender Lv4,Defender Lv4,Medium Assault,2605,2605,3,Craft,3500,0,1,1,600,48,None,None,0,0,0,,Common,None,0,0,0,0,gas:3500,Defender Lv4,,0,53,54,12,0,0,0,0,0,0,0,0,0,0
51,56,Defender Lv5,Defender Lv5,Medium Assault,2606,2606,3,Craft,3800,0,1,1,600,48,None,None,0,0,0,,Common,None,0,0,0,0,gas:3800,Defender Lv5,,0,54,55,13,0,0,0,0,0,0,0,0,0,0
52,57,Defender Lv6,Defender Lv6,Medium Assault,2607,2607,3,Craft,4000,0,1,1,600,48,None,None,0,0,0,,Common,None,0,0,0,0,gas:4000,Defender Lv6,,0,55,56,14,0,0,0,0,0,0,0,0,0,0
53,58,Defender Lv7,Defender Lv7,Medium Assault,2608,2608,3,Craft,4200,0,1,1,600,48,None,None,0,0,0,,Common,None,0,0,0,0,gas:4200,Defender Lv7,,0,56,57,15,0,0,0,0,0,0,0,0,0,0
54,59,Defender Lv8,Defender Lv8,Medium Assault,2609,2609,3,Craft,4500,0,1,1,600,48,None,None,0,0,0,,Common,None,0,0,0,0,gas:4500,Defender Lv8,,0,57,58,16,0,0,0,0,0,0,0,0,0,0
55,60,Interceptor Lv4,Interceptor Lv4,Light Assault,2612,2612,2,Craft,720,0,1,1,90,47,None,None,0,0,0,,Common,None,0,0,0,0,gas:720,Interceptor Lv4,,0,58,52,7,0,0,0,0,0,0,0,0,0,0
56,61,Interceptor Lv5,Interceptor Lv5,Light Assault,2613,2613,2,Craft,800,0,1,1,90,47,None,None,0,0,0,,Common,None,0,0,0,0,gas:800,Interceptor Lv5,,0,59,60,8,0,0,0,0,0,0,0,0,0,0
57,62,Interceptor Lv6,Interceptor Lv6,Light Assault,2614,2614,2,Craft,880,0,1,1,90,47,None,None,0,0,0,,Common,None,0,0,0,0,gas:880,Interceptor Lv6,,0,60,61,9,0,0,0,0,0,0,0,0,0,0
58,63,Interceptor Lv7,Interceptor Lv7,Light Assault,2615,2615,2,Craft,960,0,1,1,90,47,None,None,0,0,0,,Common,None,0,0,0,0,gas:960,Interceptor Lv7,,0,61,62,10,0,0,0,0,0,0,0,0,0,0
59,64,Interceptor Lv8,Interceptor Lv8,Light Assault,2616,2616,2,Craft,1000,0,1,1,90,47,None,None,0,0,0,,Common,None,0,0,0,0,gas:1000,Interceptor Lv8,,0,62,63,11,0,0,0,0,0,0,0,0,0,0
60,65,Firehawk,Firehawk,Weaponized Incendiary Medium Assault Ship.,3125,3125,3,Craft,2400,0,1,1,480,65,None,None,0,0,0,,Common,None,0,0,0,0,gas:2400,Firehawk,,0,66,0,17,0,0,0,0,0,0,0,0,0,0
61,66,Firehawk Lv2,Firehawk Lv2,Weaponized Incendiary Medium Assault Ship.,3126,3126,3,Craft,2600,0,1,1,480,65,None,None,0,0,0,,Common,None,0,0,0,0,gas:2600,Firehawk Lv2,,0,67,65,18,0,0,0,0,0,0,0,0,0,0
62,67,Firehawk Lv3,Firehawk Lv3,Weaponized Incendiary Medium Assault Ship.,3127,3127,3,Craft,2800,0,1,1,480,65,None,None,0,0,0,,Common,None,0,0,0,0,gas:2800,Firehawk Lv3,,0,68,66,19,0,0,0,0,0,0,0,0,0,0
63,68,Firehawk Lv4,Firehawk Lv4,Weaponized Incendiary Medium Assault Ship.,3128,3128,3,Craft,3000,0,1,1,480,65,None,None,0,0,0,,Common,None,0,0,0,0,gas:3000,Firehawk Lv4,,0,69,67,20,0,0,0,0,0,0,0,0,0,0
64,69,Firehawk Lv5,Firehawk Lv5,Weaponized Incendiary Medium Assault Ship.,3129,3129,3,Craft,3200,0,1,1,480,65,None,None,0,0,0,,Common,None,0,0,0,0,gas:3200,Firehawk Lv5,,0,70,68,21,0,0,0,0,0,0,0,0,0,0
65,70,Firehawk Lv6,Firehawk Lv6,Weaponized Incendiary Medium Assault Ship.,3130,3130,3,Craft,3500,0,1,1,480,65,None,None,0,0,0,,Common,None,0,0,0,0,gas:3500,Firehawk Lv6,,0,71,69,22,0,0,0,0,0,0,0,0,0,0
66,71,Firehawks Lv7,Firehawks Lv7,Weaponized Incendiary Medium Assault Ship.,3131,3131,3,Craft,3700,0,1,1,480,65,None,None,0,0,0,,Common,None,0,0,0,0,gas:3700,Firehawks Lv7,,0,72,70,23,0,0,0,0,0,0,0,0,0,0
67,72,Firehawks Lv8,Firehawks Lv8,Weaponized Incendiary Medium Assault Ship.,3132,3132,3,Craft,4000,0,1,1,480,65,None,None,0,0,0,,Common,None,0,0,0,0,gas:4000,Firehawks Lv8,,0,73,71,24,0,0,0,0,0,0,0,0,0,0
68,73,Power Drill,Power Drill,Must have for every builder.,235,4915,1,Equipment,10,0,1,1,10,73,EquipmentWeapon,Repair,0.3,37,0,103x6,Common,None,0,1087,204,0,gas:10,Power Drill,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,74,Gold Laser Pistol,Gold Laser Pistol,A handy tool for blowing your opponent to pieces.,234,4991,1,Equipment,10,0,1,1,10,74,EquipmentWeapon,Attack,0.4,75,0,103x5|101x5|105x2,Elite,None,0,1087,315,0,gas:10,Gold Laser Pistol,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,75,80's Sunnies,80's Sunnies,Look great in these nostalgic sunnies.,3260,3260,1,Equipment,10,0,1,1,10,75,EquipmentHead,Pilot,2,17,0,102x5|105x3,Common,None,0,1087,220,0,gas:10,80's Sunnies,,0,0,0,0,0,404,0,0,0,0,0,0,0,0
71,76,Hot Rod Armor,Hot Rod Armor,A heavy (and stylish) combat armor.,3261,3261,1,Equipment,10,0,1,1,10,76,EquipmentBody,FireResistance,30,415,0,103x15|104x10,Elite,None,0,1087,818,0,gas:10,Hot Rod Armor,,0,0,0,0,0,405,0,0,0,0,0,0,0,0
72,77,Hot Rod Leggings,Hot Rod Leggings,Awesome looking leggings and protects you from Fire.,3262,3262,1,Equipment,10,0,1,1,10,77,EquipmentLeg,FireResistance,30,35,0,103x5|101x2|105x2,Elite,None,0,1087,244,0,gas:10,Hot Rod Leggings,,0,0,0,0,0,406,0,0,0,0,0,0,0,0
73,78,Combat Helmet,Combat Helmet,A sturdy helmet that protects your beautiful face.,3321,8191,1,Equipment,0,500,1,1,10,78,EquipmentHead,Attack,0.2,26,0,103x6,Common,None,0,1087,199,0,mineral:500,Combat Helmet,,0,0,0,0,0,353,0,0,0,0,0,0,0,0
74,79,Combat Armor,Combat Armor,Sturdy Combat Armor for when you are in Danger.,3325,4910,1,Equipment,10000,0,1,1,10,79,EquipmentBody,Hp,1,37,0,103x7,Common,None,0,1087,235,0,gas:10000,Combat Armor,,0,0,0,0,0,354,0,0,0,0,0,0,0,0
75,80,Combat Pants,Combat Pants,Sturdy Combat Pants for protecting private parts.,3329,3329,1,Equipment,10,0,1,1,10,80,EquipmentLeg,Stamina,5,24,0,102x6,Common,None,0,1087,198,0,gas:10,Combat Pants,,0,0,0,0,0,355,0,0,0,0,0,0,0,0
76,81,Small Mineral Crate,Small Mineral Crate,1K stockpile of minerals. Also convertible to 10 supply boxes.,3486,3486,1,Equipment,0,1200,1,0,0,81,MineralPack,None,1000,5,1000,,Common,None,0,383,5,0,mineral:1200,Small Mineral Crate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,82,Medium Mineral Crate,Medium Mineral Crate,5K stockpile of minerals. Also convertible to 50 supply boxes.,3487,3487,1,Equipment,0,6000,1,0,0,82,MineralPack,None,5000,11,200,81x5,Elite,None,0,16767,17,0,mineral:6000,Medium Mineral Crate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,83,Large Mineral Crate,Large Mineral Crate,30K stockpile of minerals. Also convertible to 300 supply boxes.,3488,3488,1,Equipment,0,35000,1,0,0,83,MineralPack,None,30000,166,20,82x6,Unique,None,0,16767,168,0,mineral:35000,Large Mineral Crate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,84,Small Gas Crate,Small Gas Crate,1K stockpile of gas. Also convertible to 10 supply boxes.,3489,3489,1,Equipment,1200,0,1,0,0,84,GasPack,None,1000,5,1000,,Common,None,0,383,5,0,gas:1200,Small Gas Crate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,85,Medium Gas Crate,Medium Gas Crate,5K stockpile of gas. Also convertible to 50 supply boxes.,3490,3490,1,Equipment,6000,0,1,0,0,85,GasPack,None,5000,5,200,84x5,Elite,None,0,383,14,0,gas:6000,Medium Gas Crate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,86,Large Gas Crate,Large Gas Crate,30K stockpile of gas. Also convertible to 300 supply boxes.,3491,3491,1,Equipment,35000,0,1,0,0,86,GasPack,None,30000,62,20,85x6,Unique,None,0,16767,73,0,gas:35000,Large Gas Crate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,87,Repair Kit,Repair Kit,Repairs ship hull while docked or in single missions. Cannot activate during PVP match.,3493,3493,1,Equipment,0,0,1,0,0,87,Revive,None,100,16,30,741x2,Unique,None,0,16511,16,0,,Repair Kit,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,88,Improved Combat Helmet,Improved Combat Helmet,A improved helmet that protects your beautiful face.,3446,8194,1,Equipment,0,10000,1,1,10,88,EquipmentHead,Attack,0.3,73,0,78x6|104x6,Elite,None,0,1087,720,0,mineral:10000,Improved Combat Helmet,,0,0,0,0,0,383,0,0,0,0,0,0,0,0
84,89,Golden Combat Helmet,Golden Combat Helmet,"Like a regular combat helmet, except it's gold and better in every way.",3450,8193,1,Equipment,0,1000000,1,1,10,89,EquipmentHead,Attack,0.4,153,0,88x5|101x5,Unique,None,0,1087,1769,0,mineral:1000000,Golden Combat Helmet,,0,0,0,0,0,384,0,0,0,0,0,0,0,0
85,90,Half Day Immunity,Half Day Immunity,Grants a ship 12 Hour Immunity from Hostile PVP Matches. This does not prevent Revenge attacks.,3492,3492,1,Equipment,0,200000,1,1,600,90,Immunity,None,43200,15,100,,Common,None,0,127,15,0,mineral:200000,Half Day Immunity,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,91,Epic Combat Helmet,Epic Combat Helmet,An epic helmet that protects your beautiful face.,3454,3454,1,Equipment,0,1000000,1,1,10,91,EquipmentHead,Attack,0.6,626,0,89x5,Epic,None,0,1087,4543,0,mineral:1000000,Epic Combat Helmet,,0,0,0,0,0,385,0,0,0,0,0,0,0,0
87,92,Improved Combat Armor,Improved Combat Armor,Improved Combat Armor in case you get shot at.,3470,4911,1,Equipment,10000,0,1,1,10,92,EquipmentBody,Hp,2,160,0,79x5|104x7,Elite,None,0,1087,772,0,gas:10000,Improved Combat Armor,,0,0,0,0,0,389,0,0,0,0,0,0,0,0
88,93,Golden Combat Armor,Golden Combat Armor,"It's like a normal combat armor, but in gold and better in every respect.",3474,4912,1,Equipment,10000,0,1,1,10,93,EquipmentBody,Attack,0.5,131,0,92x5|101x3,Unique,None,0,1087,1839,0,gas:10000,Golden Combat Armor,,0,0,0,0,0,390,0,0,0,0,0,0,0,0
89,94,Thug Life,Thug Life,Thug Life Wear. Very Stylish.,3634,3634,1,Equipment,10,0,1,1,10,94,EquipmentHead,Attack,0.3,558,0,75x5|102x5,Unique,None,0,1087,914,0,gas:10,Thug Life,,0,0,0,0,0,397,0,0,0,0,0,0,0,0
90,95,Improved Leg Armor,Improved Leg Armor,Improves mobility for wearer.,3458,3458,1,Equipment,10,0,1,1,10,95,EquipmentLeg,Stamina,9,109,0,80x6|103x7,Elite,None,0,1087,867,0,gas:10,Improved Leg Armor,,0,0,0,0,0,386,0,0,0,0,0,0,0,0
91,96,Golden Combat Leggings,Golden Combat Leggings,"Just like normal combat leggings, except in Gold and better in every way.",3462,3462,1,Equipment,10,0,1,1,10,96,EquipmentLeg,Stamina,20,764,0,95x6|101x7,Unique,None,0,1087,3028,0,gas:10,Golden Combat Leggings,,0,0,0,0,0,387,0,0,0,0,0,0,0,0
92,97,Epic Leg Armor,Epic Leg Armor,An epic leg armor suited to the top ship crews.,3466,3466,1,Equipment,10,0,1,1,10,97,EquipmentLeg,Stamina,30,243,0,96x5|101x7,Epic,None,0,1087,7528,0,gas:10,Epic Leg Armor,,0,0,0,0,0,388,0,0,0,0,0,0,0,0
93,98,One Day Immunity,One Day Immunity,Grants a ship One Day Immunity from Hostile PVP Matches. This does not prevent Revenge attacks.,3545,3545,1,Equipment,0,500000,1,1,600,98,Immunity,None,86400,8,30,90x5,Elite,None,0,16511,41,0,mineral:500000,One Day Immunity,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,99,Three Days Immunity,Three Days Immunity,Grants a ship Three Days Immunity from Hostile PVP Matches. This does not prevent Revenge attacks.,3546,3546,1,Equipment,0,1000000,1,1,600,99,Immunity,None,259200,18,6,741x2|742x1,Unique,None,0,127,18,0,mineral:1000000,Three Days Immunity,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,100,Seven Days Immunity,Seven Days Immunity,Grants Seven Days Immunity from Hostile PVP Matches. Limited to one use per week. This does not prevent Revenge attacks.,3547,3547,1,Equipment,0,1000000,1,1,600,100,Immunity,None,604800,119,6,742x2|743x1,Epic,None,0,127,120,0,mineral:1000000,Seven Days Immunity,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
